Number	Name	Profile	Owner	Policy Statement	State	Status	Exempt	Weighting	Active	Additional Information	Additional comments	Attestation	Attestation respondents	Category	Class	Classification	Created	Created Manually	Created by	Description	Domain	Domain Path	Enforcement	Frequency	From configuration check	Key control	Owning group	Profile type	Profile type	Source	Tags	Type	Updated	Updated by	Updates
CTRL0010001	Establish and maintain identification mechanism termination procedures.	New York Datacenter	Patty Bernasconi	Establish and maintain identification mechanism termination procedures.	Monitor	Compliant	TRUE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:45	FALSE	admin	Establish and maintain identification mechanism termination procedures.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2018-01-29 18:20:47	admin	9
CTRL0010002	Review facility access lists.	New York Datacenter	Patty Bernasconi	Review facility access lists.	Monitor	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Detective	2016-07-31 16:19:46	FALSE	admin	Review facility access lists.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2017-02-28 12:19:33	admin	6
CTRL0010003	"Manage access to loading docks, unloading docks, and mail rooms."	New York Datacenter	Patty Bernasconi	"Manage access to loading docks, unloading docks, and mail rooms."	Monitor	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	"Manage access to loading docks, unloading docks, and mail rooms."	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Physical and Environmental Protection	2017-02-28 12:19:33	admin	6
CTRL0010004	Establish and maintain a visitor access permissions policy.	New York Datacenter	Patty Bernasconi	Establish and maintain a visitor access permissions policy.	Monitor	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Establish and maintain a visitor access permissions policy.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2017-02-28 12:19:33	admin	5
CTRL0010005	"Use locks with electronic authentication systems or cipher locks, as necessary."	New York Datacenter	Patty Bernasconi	"Use locks with electronic authentication systems or cipher locks, as necessary."	Monitor	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	"Use locks with electronic authentication systems or cipher locks, as necessary."	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Configuration	2017-02-28 12:19:33	admin	5
CTRL0010006	Monitor for unauthorized physical access at physical entry points.	New York Datacenter	Patty Bernasconi	Monitor for unauthorized physical access at physical entry points.	Monitor	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Detective	2016-07-31 16:19:46	FALSE	admin	Monitor for unauthorized physical access at physical entry points.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Monitor and Evaluate Occurrences	2017-02-28 12:19:33	admin	5
CTRL0010007	Establish and maintain identification procedures.	New York Datacenter	Patty Bernasconi	Establish and maintain identification procedures.	Monitor	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Establish and maintain identification procedures.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2017-02-28 12:19:33	admin	5
CTRL0010008	Establish and maintain identification issuance procedures for identification cards or badges.	New York Datacenter	Patty Bernasconi	Establish and maintain identification issuance procedures for identification cards or badges.	Monitor	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Establish and maintain identification issuance procedures for identification cards or badges.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2017-02-28 12:19:33	admin	5
CTRL0010009	Use locks to protect against unauthorized physical access.	New York Datacenter	Patty Bernasconi	Use locks to protect against unauthorized physical access.	Monitor	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Use locks to protect against unauthorized physical access.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Physical and Environmental Protection	2017-02-28 12:19:33	admin	5
CTRL0010010	Secure physical entry points with physical access controls or security guards.	New York Datacenter	Patty Bernasconi	Secure physical entry points with physical access controls or security guards.	Monitor	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Detective	2016-07-31 16:19:46	FALSE	admin	Secure physical entry points with physical access controls or security guards.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Physical and Environmental Protection	2017-02-28 12:19:33	admin	5
CTRL0010011	Authorize visitors before granting entry to physical areas containing restricted data or restricted information.	New York Datacenter	Patty Bernasconi	Authorize visitors before granting entry to physical areas containing restricted data or restricted information.	Monitor	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Authorize visitors before granting entry to physical areas containing restricted data or restricted information.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Testing	2017-02-28 12:19:33	admin	5
CTRL0010012	Control physical access to (and within) the facility.	New York Datacenter	Patty Bernasconi	Control physical access to (and within) the facility.	Monitor	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Control physical access to (and within) the facility.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Physical and Environmental Protection	2017-02-28 12:19:33	admin	5
CTRL0010013	Escort uncleared personnel who need to work in or access secure areas.	New York Datacenter	Patty Bernasconi	Escort uncleared personnel who need to work in or access secure areas.	Monitor	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Escort uncleared personnel who need to work in or access secure areas.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Monitor and Evaluate Occurrences	2017-02-28 12:19:33	admin	5
CTRL0010014	Identify and document physical access controls for all physical entry points.	New York Datacenter	Patty Bernasconi	Identify and document physical access controls for all physical entry points.	Monitor	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Identify and document physical access controls for all physical entry points.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2017-02-28 12:19:33	admin	5
CTRL0010015	"Escort visitors within the facility, as necessary."	New York Datacenter	Patty Bernasconi	"Escort visitors within the facility, as necessary."	Monitor	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	"Escort visitors within the facility, as necessary."	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2017-02-28 12:19:33	admin	5
CTRL0010016	Manage visitor identification inside the facility.	New York Datacenter	Patty Bernasconi	Manage visitor identification inside the facility.	Attest		FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Manage visitor identification inside the facility.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Physical and Environmental Protection	2017-02-28 13:57:43	admin	6
CTRL0010017	Maintain and review facility access lists of personnel who have been granted authorized entry to (and within) facilities that contain restricted data or restricted information.	New York Datacenter	Patty Bernasconi	Maintain and review facility access lists of personnel who have been granted authorized entry to (and within) facilities that contain restricted data or restricted information.	Monitor	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Physical and environmental protection	Control	Preventive	2016-07-31 16:19:46	FALSE	admin	Maintain and review facility access lists of personnel who have been granted authorized entry to (and within) facilities that contain restricted data or restricted information.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2017-02-28 12:19:33	admin	5
CTRL0010018	Document the continuity plan exercise test results and provide them to senior management.	New York Datacenter	Patty Bernasconi	Document the continuity plan exercise test results and provide them to senior management.	Attest	Compliant	TRUE	10	TRUE			GRC Attestation	Patty Bernasconi	Systems continuity	Control	Preventive	2016-07-31 16:21:57	FALSE	admin	Document the continuity plan exercise test results and provide them to senior management.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Actionable Reports or Measurements	2018-01-31 00:00:17	admin	9
CTRL0010019	Transport backup media in lockable electronic media storage containers.	New York Datacenter	Patty Bernasconi	Transport backup media in lockable electronic media storage containers.	Attest	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Systems continuity	Control	Preventive	2016-07-31 16:21:57	FALSE	admin	Transport backup media in lockable electronic media storage containers.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Data and Information Management	2018-01-31 00:00:24	admin	5
CTRL0010020	Separate the off-site electronic media storage facilities from the primary facility through geographic separation.	New York Datacenter	Patty Bernasconi	Separate the off-site electronic media storage facilities from the primary facility through geographic separation.	Attest	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Systems continuity	Control	Detective	2016-07-31 16:21:57	FALSE	admin	Separate the off-site electronic media storage facilities from the primary facility through geographic separation.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Testing	2018-01-31 00:00:22	admin	4
CTRL0010021	Separate the alternate facility from the primary facility through geographic separation.	New York Datacenter	Patty Bernasconi	Separate the alternate facility from the primary facility through geographic separation.	Attest	Not Applicable	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Systems continuity	Control	Preventive	2016-07-31 16:21:57	FALSE	admin	Separate the alternate facility from the primary facility through geographic separation.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Physical and Environmental Protection	2018-01-31 00:00:24	admin	4
CTRL0010022	Install a generator sized to support the facility.	New York Datacenter	Patty Bernasconi	Install a generator sized to support the facility.	Attest	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Systems continuity	Control	Preventive	2016-07-31 16:21:57	FALSE	admin	Install a generator sized to support the facility.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Configuration	2018-01-31 00:00:21	admin	4
CTRL0010023	Configure the alternate facility to meet the least needed operational capabilities.	New York Datacenter	Patty Bernasconi	Configure the alternate facility to meet the least needed operational capabilities.	Attest		FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Systems continuity	Control	Preventive	2016-07-31 16:21:57	FALSE	admin	Configure the alternate facility to meet the least needed operational capabilities.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Configuration	2017-02-28 13:57:42	admin	3
CTRL0010024	Designate an alternate facility in the continuity plan.	New York Datacenter	Patty Bernasconi	Designate an alternate facility in the continuity plan.	Attest	Compliant	FALSE	10	TRUE			GRC Attestation	Patty Bernasconi	Systems continuity	Control	Detective	2016-07-31 16:21:58	FALSE	admin	Designate an alternate facility in the continuity plan.	global	/			FALSE	FALSE				"d85a18e70fd412004e938fbce1050e49,"		Establish/Maintain Documentation	2018-01-31 00:00:21	admin	5
